 name  subgroup  row  col  crate  neighbor_crate
  W53         0   33   19      3              -1
  W54         0   33   20      3               4
  W55         0   33   21      4               3
  W56         0   33   22      4              -1
  W57         0   33   23      4              -1
  W58         0   33   24      4              -1
  W59         0   33   25      4              -1
  W60         0   33   26      4               5
  W61         0   33   27      5               4
  W62         0   33   28      5              -1
  W63         0   33   29      5              -1
  W64         0   33   30      5              -1
  W65         0   33   31      5              -1
  W66         0   33   32      5               6
  W67         0   33   33      6               5
  W68         0   33   34      6              -1
  W69         0   32    1      0              -1
  W70         0   32    2      0               1
  W71         0   32    3      1               0
  W72         0   32    4      1              -1
  W73         0   32    5      1              -1
  W74         0   32    6      1              -1
  W75         0   32    7      1              -1
  W76         0   32    8      1               2
  W77         0   32    9      2               1
  W78         0   32   10      2              -1
  W79         0   32   11      2              -1
  W80         0   32   12      2              -1
  W81         0   32   13      2              -1
  W82         0   32   14      2               3
  W83         0   32   15      3               2
  W84         0   32   16      3              -1
  W85         0   32   17      3              -1
  W86         0   32   18      3              -1
  W87         0   32   19      3              -1
  W88         0   32   20      3               4
  W89         0   32   21      4               3
  W90         0   32   22      4              -1
  W91         0   32   23      4              -1
  W92         0   32   24      4              -1
  W93         0   32   25      4              -1
  W94         0   32   26      4               5
  W95         0   32   27      5               4
  W96         0   32   28      5              -1
  W97         0   32   29      5              -1
  W98         0   32   30      5              -1
  W99         0   32   31      5              -1
 W100         0   32   32      5               6
 W101         0   32   33      6               5
 W102         0   32   34      6              -1
 W103         0   31    1      0              -1
 W104         0   31    2      0               1
 W105         0   31    3      1               0
 W106         0   31    4      1              -1
 W107         0   31    5      1              -1
 W108         0   31    6      1              -1
 W109         0   31    7      1              -1
 W110         0   31    8      1               2
 W111         0   31    9      2               1
 W112         0   31   10      2              -1
 W113         0   31   11      2              -1
 W114         0   31   12      2              -1
 W115         0   31   13      2              -1
 W116         0   31   14      2               3
 W117         0   31   15      3               2
 W118         0   31   16      3              -1
 W119         0   31   17      3              -1
 W120         0   31   18      3              -1
 W121         0   31   19      3              -1
 W122         0   31   20      3               4
 W123         0   31   21      4               3
 W124         0   31   22      4              -1
 W125         0   31   23      4              -1
 W126         0   31   24      4              -1
 W127         0   31   25      4              -1
 W128         0   31   26      4               5
 W129         0   31   27      5               4
 W130         0   31   28      5              -1
 W131         0   31   29      5              -1
 W132         0   31   30      5              -1
 W133         0   31   31      5              -1
 W134         0   31   32      5               6
 W135         0   31   33      6               5
 W136         0   31   34      6              -1
 W137         0   30    1      0              -1
 W138         0   30    2      0               1
 W139         0   30    3      1               0
 W140         0   30    4      1              -1
 W141         0   30    5      1              -1
 W142         0   30    6      1              -1
 W143         0   30    7      1              -1
 W144         0   30    8      1               2
 W145         0   30    9      2               1
 W146         0   30   10      2              -1
 W147         0   30   11      2              -1
 W148         0   30   12      2              -1
 W149         0   30   13      2              -1
 W150         0   30   14      2               3
 W151         0   30   15      3               2
 W152         0   30   16      3              -1
 W153         0   30   17      3              -1
 W154         0   30   18      3              -1
 W155         0   30   19      3              -1
 W156         0   30   20      3               4
 W157         0   30   21      4               3
 W158         0   30   22      4              -1
 W159         0   30   23      4              -1
 W160         0   30   24      4              -1
 W161         0   30   25      4              -1
 W162         0   30   26      4               5
 W163         0   30   27      5               4
 W164         0   30   28      5              -1
 W165         0   30   29      5              -1
 W166         0   30   30      5              -1
 W167         0   30   31      5              -1
 W168         0   30   32      5               6
 W169         0   30   33      6               5
 W170         0   30   34      6              -1
 W171         0   29    1      0              -1
 W172         0   29    2      0               1
 W173         0   29    3      1               0
 W174         0   29    4      1              -1
 W175         0   29    5      1              -1
 W176         0   29    6      1              -1
 W177         0   29    7      1              -1
 W178         0   29    8      1               2
 W179         0   29    9      2               1
 W180         0   29   10      2              -1
 W181         0   29   11      2              -1
 W182         0   29   12      2              -1
 W183         0   29   13      2              -1
 W184         0   29   14      2               3
 W185         0   29   15      3               2
 W186         0   29   16      3              -1
 W187         0   29   17      3              -1
