 name  crate  slot  channel  VPCB.board  VPCB.connector  cable.board  sub.label  group.label  cable.number  pin.number  link_to_crate  link_slot  link_channel
 W954      0    20        4           9             143          9.0        4.0          0.0          12.0        21.0              1          0            29
 W919      0    20        5           9             136          9.0        4.0          0.0          17.0        16.0             -1         -1            -1
 W920      0    20        6           9             137          9.0        4.0          0.0          18.0        15.0              1          0            28
 W885      0    20        8           9             130          9.0        4.0          0.0          23.0        10.0             -1         -1            -1
 W886      0    20        9           9             131          9.0        4.0          0.0          24.0         9.0              1          0            27
 G880      1     3        0           7             172          7.0        6.0          1.0           7.0        26.0              2          1            15
 G820      1     3        1           7             166          7.0        6.0          1.0          13.0        20.0              2          1            13
 G850      1     3        2           7             169          7.0        6.0          1.0          14.0        19.0              2          1            14
 G760      1     3        3           7             160          7.0        6.0          1.0          19.0        14.0              2          1            11
 G790      1     3        4           7             163          7.0        6.0          1.0          20.0        13.0              2          1            12
 G730      1     3        5           7             157          7.0        6.0          1.0          26.0         7.0              2          1            10
 W175      1     3        6           8              38          8.0        1.0          1.0           1.0        32.0             -1         -1            -1
 W174      1     3        7           8              37          8.0        1.0          1.0           2.0        31.0             -1         -1            -1
 W144      1     3        8           8              35          8.0        1.0          1.0           4.0        29.0              2          0             5
 W143      1     3        9           8              34          8.0        1.0          1.0           5.0        28.0             -1         -1            -1
 W142      1     3       10           8              33          8.0        1.0          1.0           6.0        27.0             -1         -1            -1
 W141      1     3       11           8              32          8.0        1.0          1.0           7.0        26.0             -1         -1            -1
 W140      1     3       12           8              31          8.0        1.0          1.0           8.0        25.0             -1         -1            -1
 W110      1     3       13           8              29          8.0        1.0          1.0          10.0        23.0              2          0             4
 W109      1     3       14           8              28          8.0        1.0          1.0          11.0        22.0             -1         -1            -1
 W108      1     3       15           8              27          8.0        1.0          1.0          12.0        21.0             -1         -1            -1
 W107      1     4        0           8              26          8.0        1.0          1.0          13.0        20.0             -1         -1            -1
 W106      1     4        1           8              25          8.0        1.0          1.0          14.0        19.0             -1         -1            -1
  W76      1     4        2           8              23          8.0        1.0          1.0          16.0        17.0              2          0             3
  W75      1     4        3           8              22          8.0        1.0          1.0          17.0        16.0             -1         -1            -1
  W74      1     4        4           8              21          8.0        1.0          1.0          18.0        15.0             -1         -1            -1
  W73      1     4        5           8              20          8.0        1.0          1.0          19.0        14.0             -1         -1            -1
  W72      1     4        6           8              19          8.0        1.0          1.0          20.0        13.0             -1         -1            -1
  W42      1     4        7           8              17          8.0        1.0          1.0          22.0        11.0              2          0             2
  W41      1     4        8           8              16          8.0        1.0          1.0          23.0        10.0             -1         -1            -1
  W40      1     4        9           8              15          8.0        1.0          1.0          24.0         9.0             -1         -1            -1
  W39      1     4       10           8              14          8.0        1.0          1.0          25.0         8.0             -1         -1            -1
  W38      1     4       11           8              13          8.0        1.0          1.0          26.0         7.0             -1         -1            -1
   W8      1     4       12           8              11          8.0        1.0          1.0          28.0         5.0              2          0             1
   W7      1     4       13           8              10          8.0        1.0          1.0          29.0         4.0              2          0             0
   W6      1     4       14           8               9          8.0        1.0          1.0          30.0         3.0             -1         -1            -1
   W5      1     4       15           8               8          8.0        1.0          1.0          31.0         2.0             -1         -1            -1
   W4      1     5        0           8               7          8.0        1.0          1.0          32.0         1.0             -1         -1            -1
 W620      1     5        1           8             101          8.0        2.0          1.0           1.0         7.0              2          0            19
 W617      1     5        2           8              98          8.0        2.0          1.0           2.0         6.0             -1         -1            -1
 W618      1     5        3           8              99          8.0        2.0          1.0           3.0         5.0             -1         -1            -1
 W616      1     5        4           8              97          8.0        2.0          1.0           5.0         3.0             -1         -1            -1
 W585      1     5        5           8              94          8.0        2.0          1.0           6.0         2.0             -1         -1            -1
 W586      1     5        6           8              95          8.0        2.0          1.0           7.0         1.0              2          0            18
 W720      1     5        7           8             117          8.0        2.0          1.0          10.0        23.0             -1         -1            -1
 W718      1     5        8           8             115          8.0        2.0          1.0          12.0        21.0             -1         -1            -1
